,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Kalmunai,LK,80.04,few clouds,7.4167,81.8167,VS Villa
592,Les Cayes,HT,75.07,broken clouds,18.2,-73.75,Villa Orphee
597,Porto Novo,BJ,77.56,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
602,Inirida,CO,77.72,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
603,Puerto Ayacucho,VE,77.7,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
612,Itaituba,BR,80.76,few clouds,-4.2761,-55.9836,Hotel Campos
613,Soyo,AO,76.71,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
614,Ouagadougou,BF,80.73,clear sky,12.3642,-1.5383,Pacific Hôtel
620,Bluefields,NI,78.73,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
628,Road Town,VG,80.69,light intensity shower rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
629,Porto Walter,BR,76.87,scattered clouds,-8.2686,-72.7439,Hotel Silva
635,Dourados,BR,75.38,clear sky,-22.2211,-54.8056,Bravo City Hotel Dourados
636,Sinnamary,GF,77.76,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
644,Mitsamiouli,KM,76.14,overcast clouds,-11.3847,43.2844,Foyer ADM
645,Tete,MZ,87.89,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
648,Loanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
651,Salvador,SV,75.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
663,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
664,Kallidaikurichchi,IN,79.21,overcast clouds,8.6667,77.4833,"SNS Lodge in Kallidaikurichi, Ambasamudrum"
665,Chavakkad,IN,76.15,clear sky,10.5333,76.05,Rajah Island
680,Tucurui,BR,75.79,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
682,Puerto Carreno,CO,79.9,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
683,Santo Domingo,DO,76.93,scattered clouds,18.5001,-69.9886,Cabañas City Heart
685,Atar,MR,80.29,clear sky,20.5169,-13.0499,Oumou Elghoura
686,Korhogo,CI,75.72,broken clouds,9.45,-5.6333,Hôtel Tchinbota
